Victory,Pax,Mars,Jupiter,Securitas,Liberalitas,Salus,Pietas,Pudicitia,Concordia
0.033193081,0.034090909,0.026578073,0.094488189,-0.015873016,-0.015873016,0.305263158,-0.015873016,-0.0625,0.048543689
-0.015837104,0.06959707,0.122977346,-0.021582734,0.225806452,0.225806452,-0.024193548,0.467741935,0,-0.023148148
-0.004137931,-0.017123288,0.025936599,0.091911765,-0.026315789,-0.026315789,-0.016528926,-0.021978022,0,-0.014218009
0.000461681,-0.012775842,0.033707865,0,-0.040540541,-0.040540541,-0.050420168,0.269662921,0.866666667,-0.048076923
-0.039224735,-0.048235294,0.046195652,0.026936027,-0.070422535,-0.070422535,-0.061946903,-0.061946903,-0.035714286,-0.060606061
-0.000960615,-0.025957973,0.007792208,0.059016393,-0.015151515,-0.015151515,0.216981132,-0.028301887,-0.037037037,-0.02688172
-0.016346154,-0.003807107,0.028350515,-0.003095975,-0.015384615,-0.015384615,0.100775194,0.126213592,0,-0.005524862
-0.162756598,-0.025477707,-0.157894737,-0.208074534,-0.203125,-0.515625,0.866197183,1.284482759,-0.230769231,2.511111111
0.023350846,0.026143791,0.056547619,0.054901961,0.058823529,0.032258065,-0.067924528,0.056603774,0.1,0.055379747
-0.063320023,-0.080254777,-0.056338028,0.048327138,0.351851852,0.3125,0.141700405,-0.028571429,-0.045454545,-0.011994003
-0.029232643,-0.166204986,-0.032835821,0.14893617,0.01369863,1.857142857,0.117021277,0.125,1.666666667,-0.015174507
0.021329987,-0.121262458,-0.058641975,-0.108024691,-0.243243243,0.4,0.06984127,0.441176471,-0.285714286,-0.061633282
-0.03992629,-0.043478261,-0.13442623,-0.006920415,-0.053571429,-0.053571429,-0.035608309,-0.058956916,-0.05,0.004926108
-0.016634677,0.041501976,-0.083333333,0.020905923,-0.169811321,-0.031446541,0.036923077,-0.028915663,-0.026315789,-0.066993464
-0.024723487,-0.043643264,-0.033057851,-0.027303754,0,-0.051948052,-0.002967359,-0.00248139,0,0.024518389
-0.040026684,-0.043650794,-0.047008547,-0.066666667,-0.022727273,0.082191781,0.071428571,-0.014925373,-0.027027027,0.008547009
0.001389854,-0.091286307,-0.112107623,-0.045112782,-0.186046512,0.069620253,0.097222222,-0.02020202,0.555555556,-0.018644068
-0.012491325,-0.077625571,-0.085858586,-0.011811024,0,0.029585799,0.129113924,-0.010309278,0.25,-0.01208981
-0.041461701,-0.081683168,-0.082872928,-0.051792829,-0.057142857,0.028735632,-0.035874439,-0.033854167,0.042857143,-0.038461538
-0.152492669,-0.180592992,-0.13253012,-0.138655462,0.515151515,0.51396648,-0.125581395,0,0.054794521,-0.125454545
-0.201557093,-0.236842105,-0.097222222,-0.185365854,0.2,0.110701107,-0.162234043,-0.051212938,-0.038961039,-0.122661123
-0.119176598,-0.129310345,-0.076923077,-0.125748503,-0.066666667,-0.069767442,-0.098412698,-0.008522727,0.283783784,-0.011848341
-0.084870849,-0.168316832,-0.1,-0.095890411,-0.142857143,-0.085714286,-0.070422535,-0.06017192,0.094736842,0.026378897
-0.076612903,-0.029761905,-0.055555556,-0.022727273,-0.041666667,0.0234375,0.049242424,0.051829268,0.057692308,-0.025700935
-0.080058224,-0.079754601,-0.107843137,0.07751938,0.043478261,0.08778626,0.014440433,0.037681159,-0.072727273,0.007194245
-0.049050633,0.013333333,-0.120879121,-0.086330935,-0.020833333,0.003508772,0.042704626,0.081005587,-0.009803922,0.033333333
0.124792013,0.092105263,-0.1,0.031496063,0.106382979,0.097902098,-0.071672355,-0.03875969,-0.03960396,-0.013824885
-0.073964497,-0.084337349,-0.125,-0.129770992,0.096153846,-0.082802548,0.290441176,0.206989247,-0.082474227,0.196261682
-0.015974441,-0.098684211,-0.095238095,0.00877193,0.070175439,-0.003472222,-0.017094017,0.35857461,0,-0.189453125
-0.034090909,0.357664234,-0.035087719,-0.043478261,-0.049180328,0.031358885,-0.008695652,-0.004918033,-0.04494382,0.014457831
0.006722689,-0.107526882,0.054545455,-0.018181818,-0.155172414,0.006756757,0.014619883,-0.008237232,0.011764706,0.028503563
-0.133555927,-0.024096386,-0.103448276,-0.25,0.06122449,-0.097315436,-0.040345821,0.106312292,-0.186046512,-0.043879908
-0.132947977,0.024691358,-0.076923077,0.049382716,0.153846154,-0.033457249,0.006006006,-0.052552553,0.028571429,-0.007246377
0.068888889,-0.036144578,0.125,0.141176471,0.016666667,0.011538462,0.047761194,0.001584786,0.055555556,-0.02189781
-0.024948025,-0.0875,0.185185185,0.072164948,0.049180328,0.007604563,0.05982906,0.007911392,0,0.007462687
0.017057569,-0.006849315,-0.015625,-0.009615385,-0.015625,0.003773585,0.005376344,-0.004709576,0.039473684,0.037037037
-0.016771488,0.006896552,0.015873016,0.009708738,0.111111111,0.007518797,-0.029411765,0.014195584,0.037974684,-0.004761905
-0.0554371,0.034246575,-0.03125,-0.019230769,0.014285714,0.02238806,-0.033057851,0.01088647,-0.06097561,0.009569378
-0.054176072,0.006622517,-0.016129032,0.009803922,-0.014084507,0.062043796,-0.056980057,-0.001538462,-0.051948052,0.007109005
-0.028639618,0.006578947,0.098360656,-0.048543689,0.057142857,0.010309278,0,0.057010786,0.054794521,0.016470588
0.039312039,0.137254902,0.104477612,0.030612245,-0.094594595,-0.132653061,0.063444109,0.051020408,0,0.071759259
0.153664303,0.281609195,-0.094594595,0.069306931,-0.104477612,-0.050980392,0.142045455,0.073509015,0.116883117,0.11663067
0.182377049,0.085201794,0.104477612,0.046296296,0.033333333,0.049586777,0.106965174,0.023255814,-0.139534884,0.003868472
