,0,1
0,Victory,5375
1,Jupiter,1361
2,Pax,1326
3,Mars,1317
4,Roma,1286
5,Fortuna,1110
6,Felicitas,972
7,Providentia,928
8,Concordia,895
9,Salus,839
10,Minerva,832
11,Sol,790
12,Liberalitas,675
13,Aequitas,613
14,Spes,612
15,Hercules,560
16,Pietas,554
17,Fides,534
18,Genius,484
19,Securitas,480
20,Venus,457
21,Libertas,415
22,Annona,379
23,Virtus,349
24,Apollo,309
25,Laetitia,309
26,Constantinopolis,301
27,Ceres,300
28,Vesta,263
29,Juno,257
30,Moneta,223
31,Diana,205
32,Abundantia,165
33,Pudicitia,153
34,Justitia,140
35,Clementia,135
36,Hilaritas,130
37,Neptune,122
38,Aeternitas,112
39,Africa,101
40,Hispania,99
41,Judaea,98
42,Indulgentia,93
43,Mercury,88
44,Romulus,87
45,Janus,85
46,Germania,78
47,Dacia,74
48,Fecunditas,73
49,Asclepius,71
50,Uberitas,69
51,Pegasus,67
52,Italia,64
53,Serapis,62
54,Centaur,59
55,Cupid,58
56,Nilus,50
57,Mauretania,47
58,Armenia,45
59,Triton,44
60,Remus,42
61,Bonus Eventus,42
62,Bacchus,42
63,Cybele,40
64,Tiber,40
65,Tranquillitas,36
66,Gallia,36
67,Britannia,35
68,Honos,34
69,Tellus,34
70,Nemesis,34
71,Arabia,33
72,Nobilitas,33
73,Isis,29
74,Modius,28
75,Saturn,27
76,Alexandria,26
77,Pannonia,24
78,Medusa,23
79,Dea Caelestis,22
80,Bithynia,21
81,Ubertas,21
82,Horus,21
83,Asia,20
84,Castor,19
85,Cerberus,19
86,Pluto,18
87,Saeculum Frugiferum,18
88,Juventas,17
89,Egypt,16
90,Cappadocia,16
91,Constantia,16
92,Ops,16
93,Tutela,15
94,Macedonia,15
95,Liber,14
96,Sicilia,13
97,Genius of the Senate,13
98,Achaea,12
99,Telesphorus,11
100,Luna,10
101,Rhea Silvia,10
102,Via Trajana,10
103,Vulcan,9
104,Oceanus,9
105,Tranquilitas,8
106,Tres Monetae,8
107,Phrygia,8
108,Fides Militum,8
109,Equitas,7
110,Four Seasons,7
111,Siscia,7
112,Savus,7
113,Dioscuri,7
114,Terra,7
115,Aeneas,6
116,Judea,6
117,Genius of Lugdunum,6
118,Parthia,6
119,Rhenus,6
120,Juno Sospita,6
121,Anchises,5
122,Alamannia,5
123,Parcae,5
124,Pollux,4
125,Francia,4
126,Charybdis,4
127,Orbis,4
128,Thracia,4
129,Quies,3
130,Scylla,3
131,Carthage,3
132,Nicomedia,3
133,Isis Pharia,3
134,Ascanius,3
135,Colapis,3
136,Amalthea,3
137,Patientia,3
138,Rhine,3
139,Euphrates,2
140,Perpetuitas,2
141,Maia,2
142,Sarmatia,2
143,Orontes,2
144,Pan,2
145,Danuvius,2
146,Amphinomus,1
147,Anapias,1
148,Moesia,1
149,Aurora,1
150,Tigris,1
151,Bona Mens,1
152,Ariadne,1
153,Silenus,1
154,Valeria Luperca,1
155,Tempus,1
156,Munificentia,1
157,Tyche,1
158,Gaul,1
159,Odysseus,1
160,Argos,1
161,Phoenicia,1
162,Jucunditas,1
163,Jupiter Ammon,1
164,Syria,1
165,Noricum,1
166,Fertilitas,1
167,She-Wolf,1
168,Antioch,1
169,Scythia,1
170,Fortuna Felix,1
171,Three Graces,1
172,Caritas,1
173,Diana Lucifera,1
174,Cabirus,1
