Year Before;Lead;
1950;pg/g;Missing values -0.999
3185,5;2,86;
3184,5;3,86;
3183,5;2,24;
3182,5;1,79;
3181,5;1,44;
3180,5;2,11;
3179,5;-0,999;
3178,5;6,99;
3177,5;2,55;
3176,5;2,05;
3175,5;1,41;
3174,5;1,75;
3173,5;1,7;
3172,5;1,61;
3171,5;1,67;
3170,5;1,34;
3169,5;1,33;
3168,5;2,01;
3167,5;1,68;
3166,5;3,29;
3165,5;2,57;
3164,5;1,71;
3163,5;1,23;
3162,5;1,51;
3161,5;1,45;
3160,5;1,08;
3159,5;0,86;
3158,5;1,22;
3157,5;1,86;
3156,5;2,43;
3155,5;2;
3154,5;2,02;
3153,5;1,78;
3152,5;1,36;
3151,5;2,6;
3150,5;1,44;
3149,5;2,19;
3148,5;1,3;
3147,5;1,93;
3146,5;1,37;
3145,5;1,5;
3144,5;2,03;
3143,5;1,49;
3142,5;1,27;
3141,5;1,54;
3140,5;0,97;
3139,5;1,83;
3138,5;1,79;
3137,5;1,19;
3136,5;2,66;
3135,5;1,45;
3134,5;1,49;
3133,5;9,09;
3132,5;1,66;
3131,5;1,72;
3130,5;5,51;
3129,5;-0,999;
3128,5;-0,999;
3127,5;-0,999;
3126,5;2,8;
3125,5;1,45;
3124,5;1,4;
3123,5;10,3;
3122,5;-0,999;
3121,5;2,11;
3120,5;2,4;
3119,5;-0,999;
3118,5;4,5;
3117,5;-0,999;
3116,5;6,84;
3115,5;2,85;
3114,5;1,82;
3113,5;3,02;
3112,5;2,29;
3111,5;1,52;
3110,5;3,53;
3109,5;2,75;
3108,5;2;
3107,5;1,21;
3106,5;2,22;
3105,5;1,52;
3104,5;1,5;
3103,5;1,38;
3102,5;0,97;
3101,5;1,46;
3100,5;1,37;
3099,5;1,04;
3098,5;1,13;
3097,5;1,11;
3096,5;1,67;
3095,5;1,15;
3094,5;1,34;
3093,5;1,93;
3092,5;1,43;
3091,5;1,37;
3090,5;1,43;
3089,5;0,7;
3088,5;0,92;
3087,5;1,48;
3086,5;1,84;
3085,5;3,22;
3084,5;2,23;
3083,5;2,79;
3082,5;1,46;
3081,5;2,09;
3080,5;-0,999;
3079,5;1,09;
3078,5;1,27;
3077,5;1,99;
3076,5;1,49;
3075,5;1,86;
3074,5;3,77;
3073,5;2,88;
3072,5;3,79;
3071,5;3,74;
3070,5;2,27;
3069,5;1,98;
3068,5;1,47;
3067,5;1,33;
3066,5;1,22;
3065,5;1,42;
3064,5;2,5;
3063,5;1,26;
3062,5;2,26;
3061,5;1,75;
3060,5;2,96;
3059,5;2,38;
3058,5;1,77;
3057,5;1,11;
3056,5;1,14;
3055,5;2,02;
3054,5;0,95;
3053,5;0,84;
3052,5;1,02;
3051,5;1,28;
3050,5;1,11;
3049,5;1,16;
3048,5;1,26;
3047,5;2,14;
3046,5;1,32;
3045,5;2,19;
3044,5;1,95;
3043,5;1,06;
3042,5;1,02;
3041,5;1,59;
3040,5;1,55;
3039,5;1,33;
3038,5;1,25;
3037,5;1,93;
3036,5;3,41;
3035,5;2,92;
3034,5;2,83;
3033,5;1,44;
3032,5;1,71;
3031,5;1,41;
3030,5;2,04;
3029,5;1,51;
3028,5;2,54;
3027,5;1,91;
3026,5;1,57;
3025,5;1,77;
3024,5;2,07;
3023,5;2,87;
3022,5;3,97;
3021,5;4,14;
3020,5;1,23;
3019,5;1,07;
3018,5;1,28;
3017,5;2,13;
3016,5;1,87;
3015,5;1,43;
3014,5;1,54;
3013,5;2,9;
3012,5;2,26;
3011,5;1,44;
3010,5;1,84;
3009,5;1,3;
3008,5;1,53;
3007,5;2,74;
3006,5;1,37;
3005,5;1,67;
3004,5;1,1;
3003,5;1,97;
3002,5;1,28;
3001,5;1,68;
3000,5;1,53;
2999,5;0,96;
2998,5;1,37;
2997,5;1,4;
2996,5;1,45;
2995,5;1,86;
2994,5;2,09;
2993,5;2,4;
2992,5;2,17;
2991,5;2,52;
2990,5;2,08;
2989,5;1,32;
2988,5;1;
2987,5;1,42;
2986,5;1,53;
2985,5;1,42;
2984,5;1;
2983,5;1,07;
2982,5;1,5;
2981,5;1,52;
2980,5;1,74;
2979,5;2,03;
2978,5;3,17;
2977,5;4,11;
2976,5;1,44;
2975,5;1;
2974,5;0,8;
2973,5;1,28;
2972,5;1,08;
2971,5;2,19;
2970,5;1,32;
2969,5;2,08;
2968,5;1,66;
2967,5;1,73;
2966,5;1,45;
2965,5;1,08;
2964,5;1,18;
2963,5;1,2;
2962,5;1,49;
2961,5;1,16;
2960,5;1,28;
2959,5;1,55;
2958,5;1,22;
2957,5;0,96;
2956,5;1,32;
2955,5;1,37;
2954,5;1,44;
2953,5;-0,999;
2952,5;-0,999;
2951,5;1,97;
2950,5;1,58;
2949,5;7,59;
2948,5;1,37;
2947,5;1,41;
2946,5;1,9;
2945,5;1,72;
2944,5;1,12;
2943,5;0,83;
2942,5;1,4;
2941,5;0,91;
2940,5;1,48;
2939,5;2,2;
2938,5;-0,999;
2937,5;-0,999;
2936,5;-0,999;
2935,5;-0,999;
2934,5;-0,999;
2933,5;-0,999;
2932,5;-0,999;
2931,5;-0,999;
2930,5;-0,999;
2929,5;-0,999;
2928,5;1,05;
2927,5;1,77;
2926,5;1,08;
2925,5;1,16;
2924,5;1,89;
2923,5;1,09;
2922,5;1,57;
2921,5;3,44;
2920,5;1,75;
2919,5;2,73;
2918,5;2,56;
2917,5;1,86;
2916,5;1,02;
2915,5;1,61;
2914,5;1,44;
2913,5;2,13;
2912,5;1,46;
2911,5;1,33;
2910,5;1,81;
2909,5;1,43;
2908,5;1,44;
2907,5;1,22;
2906,5;3,16;
2905,5;4,71;
2904,5;3,01;
2903,5;3,32;
2902,5;3,05;
2901,5;1,83;
2900,5;2,58;
2899,5;1,95;
2898,5;0,95;
2897,5;1,54;
2896,5;2,03;
2895,5;1,27;
2894,5;1,47;
2893,5;2,2;
2892,5;1,93;
2891,5;1,76;
2890,5;1,28;
2889,5;1,6;
2888,5;1,26;
2887,5;1,5;
2886,5;2,73;
2885,5;1,64;
2884,5;1,55;
2883,5;1,5;
2882,5;0,89;
2881,5;1,62;
2880,5;1,13;
2879,5;4,6;
2878,5;4,34;
2877,5;1,06;
2876,5;1,61;
2875,5;-0,999;
2874,5;1,12;
2873,5;1,89;
2872,5;1,62;
2871,5;-0,999;
2870,5;1,24;
2869,5;1,04;
2868,5;0,89;
2867,5;0,87;
2866,5;1,26;
2865,5;1,58;
2864,5;1,67;
2863,5;1,43;
2862,5;2,13;
2861,5;3,11;
2860,5;1,99;
2859,5;2,03;
2858,5;2,19;
2857,5;1,96;
2856,5;1,18;
2855,5;1,97;
2854,5;1,26;
2853,5;1,19;
2852,5;1,33;
2851,5;2,09;
2850,5;1,66;
2849,5;7,98;
2848,5;-0,999;
2847,5;2,84;
2846,5;2,99;
2845,5;2,31;
2844,5;1,88;
2843,5;2,41;
2842,5;1,63;
2841,5;1,68;
2840,5;1,87;
2839,5;1,78;
2838,5;2,28;
2837,5;1,56;
2836,5;1;
2835,5;0,99;
2834,5;2,04;
2833,5;1,91;
2832,5;1,3;
2831,5;1,73;
2830,5;1,36;
2829,5;1,69;
2828,5;1,45;
2827,5;1,97;
2826,5;1,9;
2825,5;1,22;
2824,5;1,14;
2823,5;1,98;
2822,5;1,54;
2821,5;2,05;
2820,5;1,63;
2819,5;2,17;
2818,5;2,7;
2817,5;1,89;
2816,5;1,6;
2815,5;1,92;
2814,5;1,96;
2813,5;1,92;
2812,5;3,54;
2811,5;3,83;
2810,5;2,33;
2809,5;2,7;
2808,5;1,71;
2807,5;2,09;
2806,5;2,07;
2805,5;1,54;
2804,5;1,59;
2803,5;1,64;
2802,5;1,62;
2801,5;1,36;
2800,5;1,79;
2799,5;1,45;
2798,5;1,31;
2797,5;1,84;
2796,5;2,58;
2795,5;2,22;
2794,5;3,39;
2793,5;1,7;
2792,5;1,01;
2791,5;1,29;
2790,5;3,77;
2789,5;2,22;
2788,5;1,65;
2787,5;2,17;
2786,5;2,43;
2785,5;1,53;
2784,5;1,28;
2783,5;0,87;
2782,5;1,92;
2781,5;1,78;
2780,5;1,83;
2779,5;1,03;
2778,5;1,9;
2777,5;1,76;
2776,5;3,15;
2775,5;1,55;
2774,5;1,1;
2773,5;1,73;
2772,5;1,24;
